episode,step,episode_return,episode_length
1,600,-0.7229701070648642,600
2,1200,-1.9222217745412107,600
3,1800,-27.04878058095414,600
4,2400,-2.917236034398482,600
5,3000,-3.724050462518778,600
6,3600,-74.84753993966736,600
7,4200,-85.01045691609663,600
8,4800,-35.8200635041704,600
9,5400,-6.781445057367004,600
10,5722,95.35087628026436,322
11,6322,-34.651205044011945,600
12,6922,-12.446287601153278,600
13,7522,-87.47539586235797,600
14,8122,-0.30000617995920376,600
15,8722,-94.68426191205654,600
16,9322,-97.53242164505147,600
17,9922,-2.295576285312816,600
18,10522,-25.70711830114243,600
19,11122,-571.3076472985779,600
20,11722,0.7430588761867534,600
21,12322,-30.7289503917479,600
22,12922,-36.47687038486545,600
23,13522,-7.810250095208428,600
24,14081,66.22205557868097,559
25,14681,-15.742339859350096,600
26,15281,-5.24663870197175,600
27,15881,-83.93372812775442,600
28,16481,-24.926644412491694,600
29,17081,-77.06040719125154,600
30,17681,0.1810329509969253,600
31,18281,-12.194422153454322,600
32,18881,-5.823696965115695,600
33,19481,-3.538041447499924,600
34,20081,-84.298708956435,600
35,20681,-16.715712530595344,600
36,21281,-0.1849438870415523,600
37,21881,-77.55600366266907,600
38,22481,-235.39011868058466,600
39,23081,-43.231852550999335,600
40,23681,-35.45268206791136,600
41,24281,-5.620869718457647,600
42,24881,-138.36803819538818,600
43,25481,-59.117499255986374,600
44,26081,-83.81104582507616,600
45,26681,-480.15935701225703,600
46,27281,-36.253513450396426,600
47,27881,-3.614878099342817,600
48,28481,-166.12196045590883,600
49,29081,-6.5358457876760365,600
50,29681,-0.611418773011903,600
51,30281,-5.324997257208704,600
52,30881,-56.06915336537426,600
53,31481,-19.18851643515543,600
54,32081,-24.669802486213083,600
55,32681,-7.005218632267839,600
56,33281,-47.90453962685231,600
57,33881,-4.993069061504027,600
58,34481,-2.9771326137515244,600
59,35081,-207.753449394821,600
60,35681,-3.634507063958406,600
61,36281,-121.7356804346617,600
62,36881,-161.41744860540535,600
63,37058,24.442164989148964,177
64,37658,0.3521987672063207,600
65,38258,-22.815572876556214,600
66,38858,-1.9518936263450795,600
67,39458,-273.03378100939227,600
68,40058,-158.79310048469569,600
69,40658,0.3391029080482642,600
70,41258,-6.351304183094517,600
71,41858,-209.12802067279128,600
72,41873,99.7268833125794,15
73,42473,1.695087113122756,600
74,43073,-5.470658579949778,600
75,43673,-5.928164757290649,600
76,44273,0.04709470703503227,600
77,44873,-125.84034032880875,600
78,45473,-176.27355726676373,600
79,46073,-149.64907155279897,600
80,46673,-20.064087525454195,600
81,47273,-165.45102972756726,600
82,47873,-101.34557659197877,600
83,48473,-60.138200271806994,600
84,49073,-2.65469381552362,600
85,49673,-43.27557706880205,600
86,50273,-329.21030250048426,600
87,50697,100.87999976309922,424
88,51297,-485.6487761553202,600
89,51897,0.34709773566257557,600
90,52497,-0.19768347707375516,600
91,53097,-0.36780776157345624,600
92,53697,-0.17856993623743417,600
93,54297,-428.87756383681904,600
94,54897,0.4303661332521389,600
95,55497,-347.4648822460741,600
96,56097,-366.9000015242556,600
97,56697,-332.61989156775184,600
98,57297,-449.9240273541126,600
99,57897,-1.6025809883638065,600
100,58497,-322.4050310914053,600
101,59097,-4.335740778250195,600
102,59697,-2.9282073911556603,600
103,60297,-8.838353867429241,600
104,60897,-0.12613385613829248,600
105,61497,-115.67591811402946,600
106,62097,0.5633311890958086,600
107,62697,-0.9492108417611487,600
108,63297,-0.43467412235358205,600
109,63897,-0.42882252524572745,600
110,64497,-0.7871050369870116,600
111,65097,-0.2890672070973576,600
112,65697,-5.539935045647758,600
113,66297,-3.9596060208179846,600
114,66897,-2.809920295152804,600
115,67497,-0.2783040440156381,600
116,68097,-257.3445475779076,600
117,68697,-386.9275201624181,600
118,69297,-478.30738363836224,600
119,69897,-5.540881169127687,600
120,70497,-554.9384399826893,600
121,71097,-10.764675322549852,600
122,71697,0.20833474932416923,600
123,72297,-4.279712303885779,600
124,72897,-25.819942581405424,600
125,73497,-321.1827013126669,600
126,74097,-70.0298723583185,600
127,74697,-458.81251137253355,600
128,75297,-0.3256444334258756,600
129,75897,-406.86770209923736,600
130,76497,-435.81787009867475,600
131,77097,-1.426486031838553,600
132,77697,-0.5641108264943344,600
133,78297,0.01702075830664601,600
134,78897,-447.31580365080913,600
135,79497,-18.035228164637324,600
136,80097,-269.96720148504437,600
137,80697,-568.3215945482316,600
138,81297,-0.24375909991456662,600
139,81897,-166.6899339877951,600
140,82497,-0.08955807037298452,600
141,83097,-88.49948288136974,600
142,83697,-122.27094275071914,600
143,84297,0.12560325930073507,600
144,84897,-130.47209008810466,600
145,85497,-0.32857643101188505,600
146,86097,-171.74473240895924,600
147,86697,-0.5047029810232542,600
148,87297,-108.66793231159522,600
149,87897,-5.522354805858334,600
150,88497,-87.25945669834113,600
151,89097,-18.679228155057945,600
152,89697,-22.0064676573887,600
153,90297,0.2839158110470837,600
154,90897,-557.4701127016427,600
155,91497,-196.54036511875148,600
156,92097,0.16464954070008592,600
157,92697,-508.7263976539816,600
158,93297,-103.68328809971905,600
159,93897,-484.78105986781355,600
160,94497,-2.3786550071555186,600
161,95097,-543.2049681906701,600
162,95697,0.3328064132508391,600
163,96297,-0.03488820970985923,600
164,96897,-46.52301376551839,600
165,97497,-326.16985728352176,600
166,98097,-510.1374079386844,600
167,98697,-169.3380727130251,600
168,99297,-3.7526801956318643,600
169,99897,-327.88789757809775,600
170,100497,-0.0049628634881426215,600
171,101097,-1.5295948383148406,600
172,101697,-15.217251541973088,600
173,102297,-0.6939439238160756,600
174,102897,-8.284734191479279,600
175,103497,-7.908379346846022,600
176,104097,-567.2517282313787,600
177,104697,-0.11971211897505973,600
178,105297,0.3318249124312361,600
179,105897,-166.59363526602047,600
180,106497,-452.7123176930089,600
181,107097,-0.0273331992869114,600
182,107697,0.44975083605433813,600
183,108297,-354.7912788703933,600
184,108897,-457.2148761756011,600
185,109497,0.2609313214158849,600
186,110097,-111.45508542480675,600
187,110697,-159.96385955038292,600
188,111297,-4.021883730240402,600
189,111897,-0.08155832769137156,600
190,112497,-2.7145609346360313,600
191,113097,-36.081290203663485,600
192,113697,-6.762142221447245,600
193,114297,-451.1150516120289,600
194,114897,-146.9518689393307,600
195,115497,-128.80399403734455,600
196,116097,-229.72909882102496,600
197,116697,-457.4536051724103,600
198,117297,-1.1268616769925652,600
199,117897,-305.13050798361195,600
200,118497,-3.2513312452112038,600
201,119097,-519.4762074416091,600
202,119697,-0.1305908623765188,600
203,120297,-12.154758488688762,600
204,120897,-201.43024614815957,600
205,121497,-102.04092405892797,600
206,122097,-254.18540483381392,600
207,122697,-122.91195841735433,600
208,123297,-0.1160964345765731,600
209,123897,-119.99449889925205,600
210,124497,-77.20954906918419,600
211,125097,-0.038527671961017196,600
212,125697,-125.65843329161197,600
213,126297,0.08736974341784137,600
214,126897,-0.2295938856420735,600
215,127497,-222.38112303664724,600
216,128097,-549.9527928485657,600
217,128697,0.13210922199116087,600
218,129297,0.5309911395813489,600
219,129897,-267.1438740781141,600
220,130497,-253.35809850985407,600
221,131097,-36.54082856326716,600
222,131697,-519.8137263857208,600
223,132297,-3.188560395595209,600
224,132897,-163.79035823437022,600
225,133497,-200.5294099643193,600
226,134097,-361.3413486296601,600
227,134697,-4.41208431601013,600
228,135297,-40.00185586540127,600
229,135897,-593.7196478410273,600
230,136497,-0.3570165070052806,600
231,137097,0.3052637886387042,600
232,137697,-500.0243872051658,600
233,138297,-336.2712948545328,600
234,138897,-29.215798713455953,600
235,139497,-0.7438861940783768,600
236,140097,-593.6924148769688,600
237,140697,-4.411742257762634,600
238,141297,-0.1734208469390776,600
239,141897,-554.7347261848059,600
240,142497,-367.1269896633912,600
241,143097,-11.717741358756918,600
242,143697,-182.60173306566708,600
243,144297,0.12029404208780964,600
244,144897,-543.4602314958325,600
245,145497,-464.88266777843876,600
246,146097,-310.13646096157595,600
247,146697,-0.3655081305844558,600
248,147297,-18.007127469547665,600
249,147897,-0.30375044855125255,600
250,148497,-337.59722483487485,600
251,149097,-8.218873001490483,600
252,149697,-0.38892478077857756,600
253,150297,-88.00301284069818,600
254,150897,0.6727300352283438,600
255,151497,-516.1781526430977,600
256,152097,0.06594044669806615,600
257,152697,-254.216951321115,600
258,153297,-251.3809571087081,600
259,153897,-376.6545253305441,600
260,154497,0.04372292663876781,600
261,155097,-3.6735236352606204,600
262,155697,-208.18891073006097,600
263,156297,-196.1111709916443,600
264,156897,-2.2312646199853834,600
265,157497,-290.12265006436365,600
266,158097,-76.76338723536165,600
267,158697,-486.61664360607284,600
268,159297,-582.1659077912203,600
269,159897,-0.9606791419951008,600
270,160497,-73.33098542916149,600
271,161097,-455.1912105341737,600
272,161697,-225.8916285373862,600
273,162297,-158.97712721621508,600
274,162897,-6.4091899569086745,600
275,163497,-483.4002746353956,600
276,164097,0.1581545490732626,600
277,164697,-381.9358526565682,600
278,165297,0.19694476825654622,600
279,165897,-228.64538086723746,600
280,166497,-458.1176340679399,600
281,167097,-161.99363810407664,600
282,167697,-195.7992518975095,600
283,168297,-22.32276976456367,600
284,168897,-144.85868814390628,600
285,169497,-402.3813800778529,600
286,170097,-579.903665151508,600
287,170697,-220.12576234577836,600
288,171297,-217.78464941772134,600
289,171897,0.5761042159535665,600
290,172497,0.02384144074287381,600
291,173097,-0.014010851359014642,600
292,173697,-4.265024922134127,600
293,174297,-104.63293321035849,600
294,174897,-396.56604620230655,600
295,175497,-534.8320582080279,600
296,176097,0.31981903274547424,600
297,176697,-456.871885565643,600
298,177297,-425.6463597116192,600
299,177897,-278.1027851886326,600
300,178497,-8.253023142240473,600
301,179097,-305.53551665775814,600
302,179697,-250.95292101916115,600
303,180297,-0.09248343982183063,600
304,180897,0.33359825594718334,600
305,181497,-95.28082827358983,600
306,182097,-54.842534212293415,600
307,182697,0.12181812912215012,600
308,183297,-232.63043735937535,600
309,183897,-6.8644919324652145,600
310,184497,-174.64570218569335,600
311,185097,-5.550028984030491,600
312,185697,-364.57623274294286,600
313,186297,-455.7999653874007,600
314,186897,-348.45895214199214,600
315,187497,-0.17558458409458655,600
316,188097,-0.4526943520252442,600
317,188697,0.08344918121223881,600
318,189297,0.03475480875178821,600
319,189897,-0.7957380921553343,600
320,190497,-377.66356637615195,600
321,191097,-307.02508629595957,600
322,191697,-2.210279688889832,600
323,192297,-0.16135734001752805,600
324,192897,-263.0592763609938,600
325,193497,-0.0523429541028943,600
326,194097,-209.50854215183526,600
327,194697,-385.0672928450766,600
328,195297,-156.26670818158308,600
329,195897,-177.17892599542733,600
330,196497,-357.64458005876224,600
331,197097,-0.1664943170583481,600
332,197697,-344.35287593446344,600
333,198297,0.12767225673789856,600
334,198897,0.2466069512218697,600
335,199497,0.08708435511627816,600
336,200097,-320.5960205550251,600
337,200697,-0.0768951800930861,600
338,201297,-159.215087375502,600
