#{"t_start": 1769877804.0415854, "env_id": "SocNavGym-v1"}
r,l,t
77.166302,208,361.082827
104.415989,74,361.753327
104.138121,64,362.348006
104.449674,56,362.861956
106.136084,87,363.650522
106.518297,101,364.56542
100.437982,65,365.197397
103.424034,74,365.880961
105.501754,98,366.782163
106.893463,102,367.70069
102.845495,152,368.989295
104.81298,301,371.507259
100.442436,7,371.611371
104.465388,93,372.458317
101.969011,35,372.806082
101.588679,70,373.452736
105.720488,259,375.675981
100.819628,128,376.78424
51.502299,128,377.938644
104.749689,117,378.950579
102.795761,51,379.419094
-577.155618,600,384.716101
102.294284,71,385.348591
106.418899,79,386.079552
102.242069,50,386.541675
102.201158,69,387.194222
100.430734,85,387.960741
105.134721,90,388.775318
103.403194,59,389.326575
103.727785,56,389.866247
108.043941,222,391.963006
97.244752,90,392.816318
97.88812,111,393.776663
104.701284,77,394.469459
104.845221,105,395.369522
101.387373,77,396.06559
107.461803,98,396.937469
104.502872,173,398.42243
106.785232,106,399.362805
102.292775,28,399.642804
91.926591,147,400.974134
103.079146,49,401.426359
103.717114,47,401.917057
102.147036,93,402.891606
99.545061,132,404.07699
98.581201,70,404.705504
105.314939,68,405.308174
102.476506,52,405.777104
105.87022,174,407.293534
104.600941,110,408.249344
102.748946,100,409.105587
100.520134,8,409.210874
100.666717,120,410.231068
103.590036,53,410.741642
103.530904,81,411.494799
105.707958,208,413.296667
101.51868,18,413.500489
102.065335,75,414.190773
63.134103,318,417.064191
102.109127,29,417.365524
101.011092,85,418.132267
87.035545,48,418.61512
102.619408,61,419.209279
84.897038,317,422.185982
101.719259,34,422.53374
100.980161,12,422.688321
-463.036429,600,428.008143
6.093955,231,430.095262
108.170761,107,431.041374
108.063951,118,432.070358
107.271838,90,432.879829
107.812668,126,433.982026
106.19143,86,434.768355
106.022889,103,435.658546
101.595728,30,435.963067
101.058121,126,437.080072
101.141661,15,437.248246
99.011165,88,438.017991
104.2768,77,438.697754
103.006925,102,439.580269
101.750331,54,440.070453
106.169046,141,441.276993
104.702656,128,442.372844
101.266886,17,442.55619
102.457527,77,443.251779
106.839195,117,444.271402
103.797869,56,444.793884
101.462154,91,445.658378
100.79448,104,446.798018
102.774605,76,447.529993
105.811406,73,448.263878
105.047602,63,448.919188
101.690362,95,449.818487
100.376048,42,450.234726
49.540349,135,451.521624
97.584591,99,452.438649
104.791649,72,453.139448
101.950925,92,453.993367
92.961664,227,456.052174
100.729494,60,456.621276
100.304803,92,457.491111
99.22726,82,458.242673
102.720083,60,458.815796
102.574782,46,459.284821
104.493684,63,459.899427
105.404878,97,460.794852
103.589377,57,461.340976
104.880489,72,462.036908
104.801491,59,462.609525
97.241459,200,464.3279
103.87177,70,464.951285
107.640559,173,466.423593
106.878994,86,467.199101
103.638417,58,467.729478
100.268171,33,468.039984
107.709115,90,468.860645
102.497882,64,469.422182
103.989845,74,470.085489
86.035727,192,471.844214
107.588277,129,473.031955
98.157502,97,473.919445
105.559187,153,475.265738
105.039384,77,475.999182
103.210115,40,476.407439
22.648092,403,480.144177
98.787972,38,480.519104
99.983305,221,482.548386
103.718228,239,484.702133
100.981005,154,486.104663
102.072995,63,486.706113
105.230137,106,487.718679
108.740831,121,488.828513
104.838088,90,489.644665
107.130921,187,491.284049
97.969425,256,493.528961
104.574245,162,494.946055
103.36379,49,495.435571
99.29939,68,496.091055
100.839974,11,496.235522
102.379185,158,497.633767
103.575692,195,499.351253
102.933879,56,499.893948
106.901171,304,502.549975
104.120315,209,504.460413
104.266513,69,505.138614
100.028696,194,506.884095
107.58098,119,508.025457
93.013086,238,510.203135
98.001312,126,511.32526
102.131635,236,513.425223
106.870279,107,514.402164
105.512813,98,515.26493
105.095088,205,517.047005
104.827428,64,517.649573
100.45718,10,517.777243
105.677065,106,518.700044
103.300412,42,519.097527
102.255676,61,519.633734
95.544977,141,520.878743
102.653216,89,521.646866
102.018197,28,521.939558
100.974561,28,522.234856
104.365629,123,523.350535
103.258634,135,524.551546
106.095683,79,525.296996
103.21185,104,526.251335
96.432171,116,527.284766
90.211013,124,528.470287
101.922627,53,528.984213
102.62788,35,529.336403
105.546389,109,530.378771
100.690735,16,530.563783
106.136476,133,531.786565
101.407276,71,532.467939
105.359441,132,533.668541
100.460003,43,534.095718
102.825566,54,534.627192
100.798382,19,534.848738
103.589985,49,535.327999
102.286825,56,535.868048
104.989344,110,536.899094
104.251038,83,537.680387
105.044215,56,538.231826
99.450442,123,539.390471
106.721337,184,540.998903
104.818699,99,541.876173
102.338224,43,542.276818
102.352401,137,543.494122
104.370265,86,544.241847
97.89766,138,545.378017
105.350248,105,546.339673
104.383991,72,547.011282
102.398087,72,547.663252
106.919069,119,548.747531
101.386459,210,550.54367
105.228196,84,551.325037
103.868598,201,553.143227
85.410783,29,553.470336
66.178063,176,555.188791
101.102419,82,555.945662
100.503873,46,556.385174
101.005413,123,557.506957
105.43133,167,558.999173
100.056485,54,559.523009
100.974167,48,559.99281
102.5227,131,561.179426
100.521371,22,561.412048
102.17343,59,561.975029
102.985292,51,562.489189
101.648378,47,562.94637
107.117503,101,563.871322
101.687297,96,564.734635
103.286688,89,565.495219
104.098673,74,566.17333
102.816568,53,566.670645
102.083708,28,566.951542
102.929528,86,567.725985
102.215205,33,568.042535
100.867941,165,569.47698
103.364203,55,569.978353
104.637593,57,570.52584
100.676096,38,570.877115
105.097139,82,571.62093
101.664426,26,571.88195
102.199923,33,572.202214
102.174823,63,572.792233
105.810345,106,573.771475
100.578963,57,574.311745
99.376998,186,576.000251
103.1841,110,577.007723
102.131305,34,577.359833
101.316526,101,578.292217
104.520353,107,579.291884
105.063859,77,580.04727
104.699469,99,580.978726
103.707574,95,581.854528
95.582794,136,583.155171
97.504294,176,584.772216
100.189348,23,585.029726
0.387559,346,588.13623
104.395462,162,589.603773
102.310163,30,589.922816
104.751257,88,590.72385
102.808538,40,591.132957
101.204244,128,592.250111
106.930709,153,593.659218
102.396852,56,594.214743
101.128593,17,594.402349
104.983838,60,594.979425
106.196213,124,596.133682
101.583851,27,596.414587
105.656413,102,597.376018
105.948894,115,598.441194
103.057571,114,599.484957
101.668866,44,599.91837
94.546175,62,600.510349
103.719932,63,601.121738
82.986704,128,602.321403
99.887936,119,603.446503
91.172657,144,604.779228
103.957291,70,605.450379
105.556952,110,606.479992
102.241462,65,607.096358
101.580909,37,607.480741
102.967345,82,608.25218
102.396264,46,608.694961
107.940838,107,609.722858
105.511475,136,610.93698
106.794451,114,611.955757
98.575331,74,612.609778
98.662287,59,613.145376
103.220652,49,613.612992
105.308025,158,614.954086
102.049439,26,615.220669
101.451433,87,615.97402
105.241404,90,616.772537
100.487367,7,616.872844
104.875378,139,618.15991
99.899521,191,619.895555
103.186857,38,620.290114
105.219403,96,621.195986
103.874833,92,622.037664
107.415429,175,623.625414
103.906179,90,624.498059
103.40288,80,625.264844
104.260441,51,625.774734
104.955842,64,626.400491
104.164553,59,626.978684
102.384762,82,627.745413
105.754663,151,629.156229
107.637547,131,630.423526
105.306175,84,631.188135
102.866959,43,631.621504
103.525031,87,632.475026
104.550002,64,633.096322
101.867933,48,633.571952
103.032548,64,634.195544
100.527096,54,634.687056
100.667675,16,634.8574
102.868683,149,636.170267
100.203928,143,637.380414
104.321953,106,638.339572
106.44185,105,639.329153
101.817375,32,639.659737
108.021522,205,641.480169
102.421407,128,642.631409
105.303486,141,643.951442
101.645911,19,644.173098
85.136586,220,646.266127
98.229757,105,647.317466
104.932586,58,647.884897
107.896655,133,649.086254
102.099546,23,649.346516
93.882206,46,649.809501
104.27202,76,650.529889
102.786965,38,650.910744
100.318446,56,651.434379
105.83506,94,652.31723
96.479269,140,653.587852
92.711751,98,654.476198
105.044421,67,655.133739
